speed,exit_influence,floor_field_factor,simulated_egress_time,error
0.5,1,3,355,52
0.5,1,5,354,51
0.5,1,7,351,48
0.5,1,9,353,50
0.5,2,3,333,30
0.5,2,5,349,46
0.5,2,7,337,34
0.5,2,9,338,35
0.5,3,3,349,46
0.5,3,5,335,32
0.5,3,7,354,51
0.5,3,9,350,47
0.55,1,3,314,11
0.55,1,5,337,34
0.55,1,7,343,40
0.55,1,9,305,2
0.55,2,3,308,5
0.55,2,5,318,15
0.55,2,7,320,17
0.55,2,9,310,7
0.55,3,3,302,1
0.55,3,5,308,5
0.55,3,7,305,2
0.55,3,9,317,14
0.6,1,3,300,3
0.6,1,5,308,5
0.6,1,7,313,10
0.6,1,9,291,12
0.6,2,3,288,15
0.6,2,5,303,0
0.6,2,7,304,1
0.6,2,9,310,7
0.6,3,3,274,29
0.6,3,5,276,27
0.6,3,7,274,29
0.6,3,9,294,9
0.65,1,3,299,4
0.65,1,5,291,12
0.65,1,7,294,9
0.65,1,9,280,23
0.65,2,3,274,29
0.65,2,5,281,22
0.65,2,7,281,22
0.65,2,9,276,27
0.65,3,3,271,32
0.65,3,5,265,38
0.65,3,7,284,19
0.65,3,9,278,25
