speed,exit_influence,floor_field_factor,simulated_egress_time,error
0.5,1,3,352,49
0.5,1,5,356,53
0.5,1,7,373,70
0.5,1,9,354,51
0.5,2,3,338,35
0.5,2,5,326,23
0.5,2,7,336,33
0.5,2,9,348,45
0.5,3,3,333,30
0.5,3,5,333,30
0.5,3,7,334,31
0.5,3,9,340,37
0.55,1,3,330,27
0.55,1,5,326,23
0.55,1,7,319,16
0.55,1,9,342,39
0.55,2,3,309,6
0.55,2,5,317,14
0.55,2,7,320,17
0.55,2,9,312,9
0.55,3,3,307,4
0.55,3,5,298,5
0.55,3,7,297,6
0.55,3,9,311,8
0.6,1,3,315,12
0.6,1,5,301,2
0.6,1,7,296,7
0.6,1,9,296,7
0.6,2,3,302,1
0.6,2,5,292,11
0.6,2,7,294,9
0.6,2,9,299,4
0.6,3,3,288,15
0.6,3,5,295,8
0.6,3,7,291,12
0.6,3,9,297,6
0.65,1,3,278,25
0.65,1,5,273,30
0.65,1,7,254,49
0.65,1,9,280,23
0.65,2,3,293,10
0.65,2,5,287,16
0.65,2,7,258,45
0.65,2,9,279,24
0.65,3,3,256,47
0.65,3,5,6,297
0.65,3,7,270,33
0.65,3,9,260,43
