speed,exit_influence,floor_field_factor,simulated_egress_time,error
0.5,1,3,356,53
0.5,1,5,350,47
0.5,1,7,364,61
0.5,1,9,337,34
0.5,2,3,347,44
0.5,2,5,355,52
0.5,2,7,336,33
0.5,2,9,345,42
0.5,3,3,347,44
0.5,3,5,322,19
0.5,3,7,343,40
0.5,3,9,340,37
0.55,1,3,321,18
0.55,1,5,318,15
0.55,1,7,331,28
0.55,1,9,339,36
0.55,2,3,303,0
0.55,2,5,323,20
0.55,2,7,320,17
0.55,2,9,311,8
0.55,3,3,315,12
0.55,3,5,314,11
0.55,3,7,313,10
0.55,3,9,326,23
0.6,1,3,307,4
0.6,1,5,294,9
0.6,1,7,296,7
0.6,1,9,310,7
0.6,2,3,303,0
0.6,2,5,294,9
0.6,2,7,291,12
0.6,2,9,286,17
0.6,3,3,276,27
0.6,3,5,288,15
0.6,3,7,284,19
0.6,3,9,295,8
0.65,1,3,285,18
0.65,1,5,293,10
0.65,1,7,283,20
0.65,1,9,287,16
0.65,2,3,272,31
0.65,2,5,271,32
0.65,2,7,269,34
0.65,2,9,299,4
0.65,3,3,261,42
0.65,3,5,251,52
0.65,3,7,283,20
0.65,3,9,260,43
